,generation,best_reward,mean_reward,worst_reward
115,116,793.9792166907731,708.8982771362138,582.9423374164687
116,117,818.6774597253631,699.674947784146,590.1591341141973
117,118,802.4653028339144,735.0273181859039,624.0157717536343
118,119,822.5338291173285,712.08174557296,597.9267454229175
119,120,819.5372977324448,710.2655148301022,544.1992550975074
120,121,834.1017491849506,717.8797227155127,604.0173230585303
121,122,821.3922364582307,749.4677830366372,675.8508642584121
122,123,814.0619408841751,703.3802614234856,576.4931113371088
123,124,785.6596673646364,700.3552036388398,562.0098170249439
124,125,796.8146290713493,697.4106058393697,576.924602642237
125,126,838.6234293694346,703.5328611890251,528.6025542104773
126,127,804.2756234235449,695.5961240466534,612.1605725729642
127,128,856.7002939825913,736.373999775582,592.7717479442882
128,129,802.7034730650297,704.687923359317,597.1264544247612
129,130,830.2911114819229,729.3402665691744,576.5985010664767
130,131,802.4068213952612,722.122921265097,635.2775810038564
131,132,817.2321525857218,723.1957312354252,575.8865740120622
132,133,802.90443394852,713.7816037573474,515.8823628932392
133,134,819.7271957729263,726.9651924068131,515.4176184094025
134,135,852.0073545916994,727.8269140370351,555.3698933905958
135,136,822.7739400411265,730.8442008158862,549.0588165920988
136,137,779.7253675770936,709.2773558413262,612.8302136459331
137,138,825.5253472452777,754.4974510881215,666.4308242351495
138,139,822.1033665108987,733.6473556994041,641.6392929477316
139,140,800.8483752106838,712.6441220115905,602.3438331999969
140,141,809.6470176398582,725.692126814147,586.4090631458215
141,142,824.8486336974207,749.4042258522835,621.5194741514341
142,143,818.564091608312,714.9374123911927,625.0776887381882
143,144,821.9454047812098,725.5658002891171,623.7664124932054
144,145,798.8241559078194,719.8158286108553,626.1997284455357
145,146,809.2832645716026,720.0674273352543,589.1451082409939
146,147,798.2810219647233,729.5859240892827,648.1058928306132
147,148,822.590861929024,720.5865857963927,609.9940437666639
148,149,810.3771494333679,702.6521498555483,567.748514119712
149,150,834.4603902544114,737.4894694641116,632.5752575379904
150,151,831.6177085024212,752.2196673544316,672.7005861713975
151,152,829.7757879541874,740.328640667468,649.183812506253
152,153,828.2570653498524,707.2217054315038,504.3464410560813
153,154,808.8939906384034,742.6872726055044,584.2459092174132
154,155,816.1907224915501,717.8315983669809,626.4239964750628
155,156,830.8018621504501,729.8457263821133,529.1382212996476
156,157,806.6053975500845,734.8827282704636,645.1533587880525
157,158,816.881131860533,728.3870927875728,582.7498187842868
158,159,773.770976198694,720.1087398604374,611.8909524837155
159,160,807.9607849698763,738.4082551679719,573.106949914458
160,161,812.8413493635126,723.4248311175186,598.1093122439346
161,162,819.0974967132415,730.494643665264,643.9493139626292
162,163,810.1034299459556,680.8105976906714,471.68759754850043
163,164,807.310663720191,719.0560995052526,604.2735471543456
164,165,857.6602225006336,730.6324795104933,611.3326571733276
165,166,835.5364720505708,742.7265798728064,641.2802357734437
166,167,856.5156796909666,732.888591509052,609.5549057061787
167,168,787.836229088716,713.2736915348311,582.5892170389351
168,169,801.0866446071392,726.7045452541865,577.5145545069366
169,170,844.1206029236222,729.8377455279776,550.7452818723102
170,171,774.6124560366285,715.2658391672367,615.3392922668321
171,172,826.9863763924207,725.4629370921062,597.2426323039829
172,173,789.3326051536608,735.4297536136996,668.6291088872414
173,174,839.4552004290699,746.3254575894514,623.6203997691322
174,175,810.1695754084589,724.6426459552065,661.3227873216613
175,176,779.8423164969665,716.0412401406331,618.4189084495152
176,177,842.3264253004128,712.5375067473326,460.22410743865333
177,178,818.5891231092011,742.8089906237194,629.854495767953
178,179,836.513096801917,728.7527447330659,607.3013752959962
179,180,789.3052263865173,722.2392921995003,644.9290139771507
180,181,827.379321039605,736.8450148141935,587.487694092719
181,182,831.7810511301819,723.4495449160651,589.7915805963429
182,183,845.5194978529092,752.6405284464349,631.0634077354176
183,184,796.9169413449872,689.1239249112454,394.8092376386185
184,185,831.8011875651936,710.0247614034799,526.4845118653348
185,186,829.0053785964349,765.9761484336734,679.2070648931573
186,187,837.8750258978536,747.7731441229639,600.7762216892531
187,188,814.3193834155284,734.8139292233432,675.2593684842725
188,189,818.2170588331484,698.8420616514477,494.053547581322
189,190,811.1024844229647,720.6663033503953,625.2031433850652
190,191,878.930966731956,735.8120178090674,626.762399462049
191,192,846.4205582693419,752.6296180593289,636.6384731417693
192,193,797.8304212593683,729.5060258544479,543.3820114773849
193,194,842.2287452531258,725.7344633860171,646.5269528559877
194,195,816.0222041233504,704.8077654920199,548.9310930848574
195,196,816.2966229431631,766.1468459745448,671.299790659612
196,197,815.1939899120638,728.2521977690028,609.1144797016469
197,198,815.5804083999752,744.9648942278743,648.8300278754441
198,199,829.0202636713339,718.214529601372,573.3834445685314
199,200,788.1662704770023,696.9300917574892,592.0197579231859
